,image_id,num_potholes,x,y,w,h
0,G0010033,6,1990.0,1406.0,66.0,14.0
1,G0010033,6,1464.0,1442.0,92.0,16.0
2,G0010033,6,1108.0,1450.0,54.0,16.0
3,G0010033,6,558.0,1434.0,102.0,16.0
4,G0010033,6,338.0,1450.0,72.0,18.0
5,G0010033,6,262.0,1450.0,58.0,22.0
6,G0010034,5,1804.0,1424.0,90.0,16.0
7,G0010034,5,1192.0,1484.0,110.0,16.0
8,G0010034,5,782.0,1502.0,74.0,16.0
9,G0010034,5,566.0,1494.0,106.0,22.0
10,G0010034,5,210.0,1484.0,104.0,22.0
11,G0010035,4,1590.0,1452.0,106.0,24.0
12,G0010035,4,840.0,1544.0,132.0,28.0
13,G0010035,4,368.0,1584.0,96.0,22.0
14,G0010035,4,136.0,1576.0,138.0,30.0
15,G0010036,3,1322.0,1516.0,134.0,28.0
16,G0010036,3,362.0,1658.0,156.0,38.0
17,G0010036,3,1744.0,1522.0,58.0,16.0
18,G0010037,2,884.0,1638.0,190.0,52.0
19,G0010037,2,1428.0,1654.0,98.0,26.0
20,G0010109,2,1984.0,1346.0,42.0,16.0
21,G0010109,2,1894.0,1330.0,48.0,10.0
22,G0010110,2,2002.0,1370.0,58.0,18.0
23,G0010110,2,1896.0,1342.0,50.0,16.0
24,G0010111,7,2022.0,1434.0,76.0,22.0
25,G0010111,7,1880.0,1384.0,60.0,12.0
26,G0010111,7,1900.0,1358.0,54.0,14.0
27,G0010111,7,1958.0,1348.0,72.0,16.0
28,G0010111,7,2088.0,1326.0,50.0,16.0
29,G0010111,7,2034.0,1314.0,46.0,12.0
30,G0010111,7,2050.0,1300.0,38.0,6.0
31,G0010112,9,1922.0,1530.0,252.0,80.0
32,G0010112,9,1844.0,1424.0,86.0,26.0
33,G0010112,9,1862.0,1390.0,94.0,16.0
34,G0010112,9,1938.0,1370.0,100.0,18.0
35,G0010112,9,2102.0,1340.0,78.0,16.0
36,G0010112,9,2028.0,1326.0,60.0,16.0
37,G0010112,9,2054.0,1304.0,46.0,12.0
38,G0010112,9,1982.0,1304.0,42.0,8.0
39,G0010112,9,1934.0,1298.0,28.0,6.0
40,G0010113,8,1790.0,1526.0,124.0,38.0
41,G0010113,8,1878.0,1456.0,68.0,24.0
42,G0010113,8,1936.0,1424.0,110.0,24.0
43,G0010113,8,2140.0,1378.0,86.0,18.0
44,G0010113,8,2044.0,1356.0,68.0,20.0
45,G0010113,8,2068.0,1322.0,42.0,10.0
46,G0010113,8,1986.0,1326.0,48.0,10.0
47,G0010113,8,1926.0,1316.0,32.0,8.0
48,G0010114,8,1722.0,1746.0,156.0,20.0
49,G0010114,8,1832.0,1570.0,110.0,28.0
50,G0010114,8,1928.0,1502.0,162.0,44.0
51,G0010114,8,2190.0,1414.0,108.0,28.0
52,G0010114,8,2054.0,1388.0,96.0,24.0
53,G0010114,8,2090.0,1336.0,44.0,8.0
54,G0010114,8,1992.0,1340.0,46.0,12.0
55,G0010114,8,1924.0,1326.0,38.0,12.0
56,G0010115,6,1932.0,1676.0,286.0,88.0
57,G0010115,6,2310.0,1488.0,146.0,32.0
58,G0010115,6,2114.0,1434.0,116.0,36.0
59,G0010115,6,2136.0,1354.0,50.0,10.0
60,G0010115,6,2018.0,1360.0,66.0,16.0
61,G0010115,6,1942.0,1342.0,38.0,12.0
